IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,tasa_2023_2,pred_2024_1,real_2024_1,pred_2024_2,real_2024_2,tendencia,nivel_riesgo,en_aumento
4829,santander,bucaramanga,Institución técnica profesional,No oficial,55.56,51.0,100.0,49.33,100.0,-4.56,Alto,False
4106,archipielago de san andres y providencia,san andres,Institución técnica profesional,Oficial,29.64,37.27,19.65,28.49,28.98,7.63,Alto,True
4832,bogota d c,bogota dc,Institución técnica profesional,No oficial,36.33,30.22,85.15,29.8,36.02,-6.11,Alto,False
4721,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,35.27,27.83,53.28,22.33,35.87,-7.44,Alto,False
4803,bogota d c,bogota dc,Institución técnica profesional,No oficial,42.19,26.87,57.69,22.46,34.57,-15.32,Alto,False
4102,la guajira,san juan del cesar,Institución técnica profesional,Oficial,30.72,26.1,31.19,20.8,23.03,-4.62,Alto,False
1725,bogota d c,bogota dc,Universidad,No oficial,42.35,24.7,30.84,,,-17.65,Alto,False
3716,santander,bucaramanga,Institución tecnológica,No oficial,32.53,23.88,39.48,20.48,33.43,-8.65,Alto,False
4714,bogota d c,bogota dc,Institución técnica profesional,No oficial,20.41,22.11,64.89,21.72,69.23,1.7,Alto,True
4727,bogota d c,bogota dc,Institución tecnológica,No oficial,24.52,21.78,64.72,20.46,40.67,-2.74,Alto,False
4813,bogota d c,bogota dc,Institución técnica profesional,No oficial,21.78,21.36,34.56,21.76,31.02,-0.42,Alto,False
4109,valle del cauca,cali,Institución técnica profesional,Oficial,19.38,20.96,26.62,20.37,28.0,1.58,Alto,True
3809,cundinamarca,fusagasuga,Institución tecnológica,No oficial,19.51,20.16,21.28,22.1,32.56,0.65,Alto,True
4107,valle del cauca,guadalajara de buga,Institución técnica profesional,Oficial,15.5,19.94,32.12,21.52,34.68,4.44,Medio,True
1703,bogota d c,bogota dc,Universidad,No oficial,19.63,19.65,20.85,19.59,4.53,0.02,Medio,True
2902,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,Oficial,21.21,19.06,32.61,19.08,14.58,-2.15,Medio,False
9902,santander,bucaramanga,Institución universitaria/Escuela Tecnológica,No oficial,22.65,18.91,28.76,19.6,19.77,-3.74,Medio,False
4112,caldas,pensilvania,Institución técnica profesional,Oficial,16.05,18.71,24.32,18.57,27.08,2.66,Medio,True
9117,bogota d c,bogota dc,Institución técnica profesional,No oficial,18.18,18.65,33.33,21.91,25.0,0.47,Medio,True
