IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,periodo,DESERTORES,MATRICULADOS,tasa
1101,bogota d c,bogota dc,Universidad,Oficial,1998-1,0.0,2219.0,0.0
1101,bogota d c,bogota dc,Universidad,Oficial,1998-2,0.0,4118.0,0.0
1101,bogota d c,bogota dc,Universidad,Oficial,1999-1,151.0,6079.0,2.48
1101,bogota d c,bogota dc,Universidad,Oficial,1999-2,396.0,7934.0,4.99
1101,bogota d c,bogota dc,Universidad,Oficial,2000-1,469.0,9926.0,4.72
1101,bogota d c,bogota dc,Universidad,Oficial,2000-2,551.0,11506.0,4.79
1101,bogota d c,bogota dc,Universidad,Oficial,2001-1,741.0,13420.0,5.52
1101,bogota d c,bogota dc,Universidad,Oficial,2001-2,678.0,14889.0,4.55
1101,bogota d c,bogota dc,Universidad,Oficial,2002-1,804.0,16159.0,4.98
1101,bogota d c,bogota dc,Universidad,Oficial,2002-2,849.0,17598.0,4.82
1101,bogota d c,bogota dc,Universidad,Oficial,2003-1,892.0,17682.0,5.04
1101,bogota d c,bogota dc,Universidad,Oficial,2003-2,1457.0,19949.0,7.3
1101,bogota d c,bogota dc,Universidad,Oficial,2004-1,284.0,20929.0,1.36
1101,bogota d c,bogota dc,Universidad,Oficial,2004-2,922.0,21457.0,4.3
1101,bogota d c,bogota dc,Universidad,Oficial,2005-1,943.0,22043.0,4.28
1101,bogota d c,bogota dc,Universidad,Oficial,2005-2,905.0,21433.0,4.22
1101,bogota d c,bogota dc,Universidad,Oficial,2006-1,972.0,21315.0,4.56
1101,bogota d c,bogota dc,Universidad,Oficial,2006-2,1035.0,21044.0,4.92
1101,bogota d c,bogota dc,Universidad,Oficial,2007-1,1048.0,21488.0,4.88
1101,bogota d c,bogota dc,Universidad,Oficial,2007-2,927.0,21202.0,4.37
1101,bogota d c,bogota dc,Universidad,Oficial,2008-1,1167.0,21167.0,5.51
1101,bogota d c,bogota dc,Universidad,Oficial,2008-2,961.0,21122.0,4.55
1101,bogota d c,bogota dc,Universidad,Oficial,2009-1,1013.0,21290.0,4.76
1101,bogota d c,bogota dc,Universidad,Oficial,2009-2,991.0,21429.0,4.62
1101,bogota d c,bogota dc,Universidad,Oficial,2010-1,732.0,21724.0,3.37
1101,bogota d c,bogota dc,Universidad,Oficial,2010-2,802.0,21832.0,3.67
1101,bogota d c,bogota dc,Universidad,Oficial,2011-1,911.0,22422.0,4.06
1101,bogota d c,bogota dc,Universidad,Oficial,2011-2,894.0,22442.0,3.98
1101,bogota d c,bogota dc,Universidad,Oficial,2012-1,961.0,22972.0,4.18
1101,bogota d c,bogota dc,Universidad,Oficial,2012-2,918.0,23187.0,3.96
1101,bogota d c,bogota dc,Universidad,Oficial,2013-1,980.0,23937.0,4.09
1101,bogota d c,bogota dc,Universidad,Oficial,2013-2,920.0,23839.0,3.86
1101,bogota d c,bogota dc,Universidad,Oficial,2014-1,1127.0,23736.0,4.75
1101,bogota d c,bogota dc,Universidad,Oficial,2014-2,1111.0,24044.0,4.62
1101,bogota d c,bogota dc,Universidad,Oficial,2015-1,1055.0,24029.0,4.39
1101,bogota d c,bogota dc,Universidad,Oficial,2015-2,1076.0,23994.0,4.48
1101,bogota d c,bogota dc,Universidad,Oficial,2016-1,1080.0,24013.0,4.5
1101,bogota d c,bogota dc,Universidad,Oficial,2016-2,936.0,24143.0,3.88
1101,bogota d c,bogota dc,Universidad,Oficial,2017-1,998.0,24200.0,4.12
1101,bogota d c,bogota dc,Universidad,Oficial,2017-2,923.0,24329.0,3.79
1101,bogota d c,bogota dc,Universidad,Oficial,2018-1,961.0,24695.0,3.89
1101,bogota d c,bogota dc,Universidad,Oficial,2018-2,1115.0,23954.0,4.65
1101,bogota d c,bogota dc,Universidad,Oficial,2019-1,1598.0,24531.0,6.51
1101,bogota d c,bogota dc,Universidad,Oficial,2019-2,1096.0,24927.0,4.4
1101,bogota d c,bogota dc,Universidad,Oficial,2020-1,1106.0,25139.0,4.4
1101,bogota d c,bogota dc,Universidad,Oficial,2020-2,1170.0,25295.0,4.63
1101,bogota d c,bogota dc,Universidad,Oficial,2021-1,789.0,27086.0,2.91
1101,bogota d c,bogota dc,Universidad,Oficial,2021-2,519.0,27017.0,1.92
1101,bogota d c,bogota dc,Universidad,Oficial,2022-1,1161.0,27074.0,4.29
1101,bogota d c,bogota dc,Universidad,Oficial,2022-2,1037.0,27547.0,3.76
1101,bogota d c,bogota dc,Universidad,Oficial,2023-1,840.0,27734.0,3.03
1101,bogota d c,bogota dc,Universidad,Oficial,2023-2,1243.0,27130.0,4.58
1101,bogota d c,bogota dc,Universidad,Oficial,2024-1,1485.0,24537.0,6.05
1101,bogota d c,bogota dc,Universidad,Oficial,2024-2,1193.0,24903.0,4.79
1102,antioquia,medellin,Universidad,Oficial,1998-1,0.0,643.0,0.0
1102,antioquia,medellin,Universidad,Oficial,1998-2,0.0,565.0,0.0
1102,antioquia,medellin,Universidad,Oficial,1999-1,98.0,1737.0,5.64
1102,antioquia,medellin,Universidad,Oficial,1999-2,7.0,2173.0,0.32
1102,antioquia,medellin,Universidad,Oficial,2000-1,222.0,2827.0,7.85
1102,antioquia,medellin,Universidad,Oficial,2000-2,222.0,3407.0,6.52
1102,antioquia,medellin,Universidad,Oficial,2001-1,287.0,3841.0,7.47
1102,antioquia,medellin,Universidad,Oficial,2001-2,363.0,4119.0,8.81
1102,antioquia,medellin,Universidad,Oficial,2002-1,447.0,4646.0,9.62
1102,antioquia,medellin,Universidad,Oficial,2002-2,349.0,5189.0,6.73
1102,antioquia,medellin,Universidad,Oficial,2003-1,353.0,5031.0,7.02
1102,antioquia,medellin,Universidad,Oficial,2003-2,1168.0,5983.0,19.52
1102,antioquia,medellin,Universidad,Oficial,2004-1,84.0,6560.0,1.28
1102,antioquia,medellin,Universidad,Oficial,2004-2,448.0,7007.0,6.39
1102,antioquia,medellin,Universidad,Oficial,2005-1,520.0,7725.0,6.73
1102,antioquia,medellin,Universidad,Oficial,2005-2,555.0,7714.0,7.19
1102,antioquia,medellin,Universidad,Oficial,2006-1,757.0,7795.0,9.71
1102,antioquia,medellin,Universidad,Oficial,2006-2,657.0,8385.0,7.84
1102,antioquia,medellin,Universidad,Oficial,2007-1,678.0,8654.0,7.83
1102,antioquia,medellin,Universidad,Oficial,2007-2,805.0,8611.0,9.35
1102,antioquia,medellin,Universidad,Oficial,2008-1,784.0,8731.0,8.98
1102,antioquia,medellin,Universidad,Oficial,2008-2,765.0,9200.0,8.32
1102,antioquia,medellin,Universidad,Oficial,2009-1,787.0,9253.0,8.51
1102,antioquia,medellin,Universidad,Oficial,2009-2,1009.0,9033.0,11.17
1102,antioquia,medellin,Universidad,Oficial,2010-1,787.0,9400.0,8.37
1102,antioquia,medellin,Universidad,Oficial,2010-2,679.0,9315.0,7.29
1102,antioquia,medellin,Universidad,Oficial,2011-1,878.0,9692.0,9.06
1102,antioquia,medellin,Universidad,Oficial,2011-2,670.0,9739.0,6.88
1102,antioquia,medellin,Universidad,Oficial,2012-1,718.0,9907.0,7.25
1102,antioquia,medellin,Universidad,Oficial,2012-2,617.0,9654.0,6.39
1102,antioquia,medellin,Universidad,Oficial,2013-1,736.0,9630.0,7.64
1102,antioquia,medellin,Universidad,Oficial,2013-2,645.0,9625.0,6.7
1102,antioquia,medellin,Universidad,Oficial,2014-1,659.0,9626.0,6.85
1102,antioquia,medellin,Universidad,Oficial,2014-2,641.0,9784.0,6.55
1102,antioquia,medellin,Universidad,Oficial,2015-1,645.0,9930.0,6.5
1102,antioquia,medellin,Universidad,Oficial,2015-2,649.0,10155.0,6.39
1102,antioquia,medellin,Universidad,Oficial,2016-1,522.0,10056.0,5.19
1102,antioquia,medellin,Universidad,Oficial,2016-2,709.0,10177.0,6.97
1102,antioquia,medellin,Universidad,Oficial,2017-1,724.0,10165.0,7.12
1102,antioquia,medellin,Universidad,Oficial,2017-2,795.0,10159.0,7.83
1102,antioquia,medellin,Universidad,Oficial,2018-1,805.0,10255.0,7.85
1102,antioquia,medellin,Universidad,Oficial,2018-2,769.0,10285.0,7.48
1102,antioquia,medellin,Universidad,Oficial,2019-1,769.0,10405.0,7.39
1102,antioquia,medellin,Universidad,Oficial,2019-2,775.0,10734.0,7.22
1102,antioquia,medellin,Universidad,Oficial,2020-1,894.0,1400.0,63.86
