lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
0.0,0.0,2.48,4.99,1,Universidad,Oficial,bogota d c,bogota dc
0.0,2.48,4.99,4.72,2,Universidad,Oficial,bogota d c,bogota dc
2.48,4.99,4.72,4.79,1,Universidad,Oficial,bogota d c,bogota dc
4.99,4.72,4.79,5.52,2,Universidad,Oficial,bogota d c,bogota dc
4.72,4.79,5.52,4.55,1,Universidad,Oficial,bogota d c,bogota dc
4.79,5.52,4.55,4.98,2,Universidad,Oficial,bogota d c,bogota dc
5.52,4.55,4.98,4.82,1,Universidad,Oficial,bogota d c,bogota dc
4.55,4.98,4.82,5.04,2,Universidad,Oficial,bogota d c,bogota dc
4.98,4.82,5.04,7.3,1,Universidad,Oficial,bogota d c,bogota dc
4.82,5.04,7.3,1.36,2,Universidad,Oficial,bogota d c,bogota dc
5.04,7.3,1.36,4.3,1,Universidad,Oficial,bogota d c,bogota dc
7.3,1.36,4.3,4.28,2,Universidad,Oficial,bogota d c,bogota dc
1.36,4.3,4.28,4.22,1,Universidad,Oficial,bogota d c,bogota dc
4.3,4.28,4.22,4.56,2,Universidad,Oficial,bogota d c,bogota dc
4.28,4.22,4.56,4.92,1,Universidad,Oficial,bogota d c,bogota dc
4.22,4.56,4.92,4.88,2,Universidad,Oficial,bogota d c,bogota dc
4.56,4.92,4.88,4.37,1,Universidad,Oficial,bogota d c,bogota dc
4.92,4.88,4.37,5.51,2,Universidad,Oficial,bogota d c,bogota dc
4.88,4.37,5.51,4.55,1,Universidad,Oficial,bogota d c,bogota dc
4.37,5.51,4.55,4.76,2,Universidad,Oficial,bogota d c,bogota dc
5.51,4.55,4.76,4.62,1,Universidad,Oficial,bogota d c,bogota dc
4.55,4.76,4.62,3.37,2,Universidad,Oficial,bogota d c,bogota dc
4.76,4.62,3.37,3.67,1,Universidad,Oficial,bogota d c,bogota dc
4.62,3.37,3.67,4.06,2,Universidad,Oficial,bogota d c,bogota dc
3.37,3.67,4.06,3.98,1,Universidad,Oficial,bogota d c,bogota dc
3.67,4.06,3.98,4.18,2,Universidad,Oficial,bogota d c,bogota dc
4.06,3.98,4.18,3.96,1,Universidad,Oficial,bogota d c,bogota dc
3.98,4.18,3.96,4.09,2,Universidad,Oficial,bogota d c,bogota dc
4.18,3.96,4.09,3.86,1,Universidad,Oficial,bogota d c,bogota dc
3.96,4.09,3.86,4.75,2,Universidad,Oficial,bogota d c,bogota dc
4.09,3.86,4.75,4.62,1,Universidad,Oficial,bogota d c,bogota dc
3.86,4.75,4.62,4.39,2,Universidad,Oficial,bogota d c,bogota dc
4.75,4.62,4.39,4.48,1,Universidad,Oficial,bogota d c,bogota dc
4.62,4.39,4.48,4.5,2,Universidad,Oficial,bogota d c,bogota dc
4.39,4.48,4.5,3.88,1,Universidad,Oficial,bogota d c,bogota dc
4.48,4.5,3.88,4.12,2,Universidad,Oficial,bogota d c,bogota dc
4.5,3.88,4.12,3.79,1,Universidad,Oficial,bogota d c,bogota dc
3.88,4.12,3.79,3.89,2,Universidad,Oficial,bogota d c,bogota dc
4.12,3.79,3.89,4.65,1,Universidad,Oficial,bogota d c,bogota dc
3.79,3.89,4.65,6.51,2,Universidad,Oficial,bogota d c,bogota dc
3.89,4.65,6.51,4.4,1,Universidad,Oficial,bogota d c,bogota dc
4.65,6.51,4.4,4.4,2,Universidad,Oficial,bogota d c,bogota dc
6.51,4.4,4.4,4.63,1,Universidad,Oficial,bogota d c,bogota dc
4.4,4.4,4.63,2.91,2,Universidad,Oficial,bogota d c,bogota dc
4.4,4.63,2.91,1.92,1,Universidad,Oficial,bogota d c,bogota dc
4.63,2.91,1.92,4.29,2,Universidad,Oficial,bogota d c,bogota dc
2.91,1.92,4.29,3.76,1,Universidad,Oficial,bogota d c,bogota dc
0.0,0.0,5.64,0.32,1,Universidad,Oficial,antioquia,medellin
0.0,5.64,0.32,7.85,2,Universidad,Oficial,antioquia,medellin
5.64,0.32,7.85,6.52,1,Universidad,Oficial,antioquia,medellin
0.32,7.85,6.52,7.47,2,Universidad,Oficial,antioquia,medellin
7.85,6.52,7.47,8.81,1,Universidad,Oficial,antioquia,medellin
6.52,7.47,8.81,9.62,2,Universidad,Oficial,antioquia,medellin
7.47,8.81,9.62,6.73,1,Universidad,Oficial,antioquia,medellin
8.81,9.62,6.73,7.02,2,Universidad,Oficial,antioquia,medellin
9.62,6.73,7.02,19.52,1,Universidad,Oficial,antioquia,medellin
6.73,7.02,19.52,1.28,2,Universidad,Oficial,antioquia,medellin
7.02,19.52,1.28,6.39,1,Universidad,Oficial,antioquia,medellin
19.52,1.28,6.39,6.73,2,Universidad,Oficial,antioquia,medellin
1.28,6.39,6.73,7.19,1,Universidad,Oficial,antioquia,medellin
6.39,6.73,7.19,9.71,2,Universidad,Oficial,antioquia,medellin
6.73,7.19,9.71,7.84,1,Universidad,Oficial,antioquia,medellin
7.19,9.71,7.84,7.83,2,Universidad,Oficial,antioquia,medellin
9.71,7.84,7.83,9.35,1,Universidad,Oficial,antioquia,medellin
7.84,7.83,9.35,8.98,2,Universidad,Oficial,antioquia,medellin
7.83,9.35,8.98,8.32,1,Universidad,Oficial,antioquia,medellin
9.35,8.98,8.32,8.51,2,Universidad,Oficial,antioquia,medellin
8.98,8.32,8.51,11.17,1,Universidad,Oficial,antioquia,medellin
8.32,8.51,11.17,8.37,2,Universidad,Oficial,antioquia,medellin
8.51,11.17,8.37,7.29,1,Universidad,Oficial,antioquia,medellin
11.17,8.37,7.29,9.06,2,Universidad,Oficial,antioquia,medellin
8.37,7.29,9.06,6.88,1,Universidad,Oficial,antioquia,medellin
7.29,9.06,6.88,7.25,2,Universidad,Oficial,antioquia,medellin
9.06,6.88,7.25,6.39,1,Universidad,Oficial,antioquia,medellin
6.88,7.25,6.39,7.64,2,Universidad,Oficial,antioquia,medellin
7.25,6.39,7.64,6.7,1,Universidad,Oficial,antioquia,medellin
6.39,7.64,6.7,6.85,2,Universidad,Oficial,antioquia,medellin
7.64,6.7,6.85,6.55,1,Universidad,Oficial,antioquia,medellin
6.7,6.85,6.55,6.5,2,Universidad,Oficial,antioquia,medellin
6.85,6.55,6.5,6.39,1,Universidad,Oficial,antioquia,medellin
6.55,6.5,6.39,5.19,2,Universidad,Oficial,antioquia,medellin
6.5,6.39,5.19,6.97,1,Universidad,Oficial,antioquia,medellin
6.39,5.19,6.97,7.12,2,Universidad,Oficial,antioquia,medellin
5.19,6.97,7.12,7.83,1,Universidad,Oficial,antioquia,medellin
6.97,7.12,7.83,7.85,2,Universidad,Oficial,antioquia,medellin
7.12,7.83,7.85,7.48,1,Universidad,Oficial,antioquia,medellin
7.83,7.85,7.48,7.39,2,Universidad,Oficial,antioquia,medellin
7.85,7.48,7.39,7.22,1,Universidad,Oficial,antioquia,medellin
7.48,7.39,7.22,63.86,2,Universidad,Oficial,antioquia,medellin
7.39,7.22,63.86,12.11,1,Universidad,Oficial,antioquia,medellin
7.22,63.86,12.11,1.06,2,Universidad,Oficial,antioquia,medellin
63.86,12.11,1.06,3.16,1,Universidad,Oficial,antioquia,medellin
12.11,1.06,3.16,7.42,2,Universidad,Oficial,antioquia,medellin
1.06,3.16,7.42,7.23,1,Universidad,Oficial,antioquia,medellin
0.0,0.0,2.51,3.28,1,Universidad,Oficial,caldas,manizales
0.0,2.51,3.28,3.22,2,Universidad,Oficial,caldas,manizales
2.51,3.28,3.22,4.44,1,Universidad,Oficial,caldas,manizales
3.28,3.22,4.44,5.02,2,Universidad,Oficial,caldas,manizales
3.22,4.44,5.02,5.04,1,Universidad,Oficial,caldas,manizales
4.44,5.02,5.04,5.63,2,Universidad,Oficial,caldas,manizales
5.02,5.04,5.63,4.39,1,Universidad,Oficial,caldas,manizales
5.04,5.63,4.39,5.93,2,Universidad,Oficial,caldas,manizales
5.63,4.39,5.93,10.67,1,Universidad,Oficial,caldas,manizales
4.39,5.93,10.67,1.19,2,Universidad,Oficial,caldas,manizales
5.93,10.67,1.19,4.98,1,Universidad,Oficial,caldas,manizales
10.67,1.19,4.98,5.94,2,Universidad,Oficial,caldas,manizales
1.19,4.98,5.94,4.32,1,Universidad,Oficial,caldas,manizales
4.98,5.94,4.32,4.84,2,Universidad,Oficial,caldas,manizales
5.94,4.32,4.84,9.88,1,Universidad,Oficial,caldas,manizales
4.32,4.84,9.88,5.72,2,Universidad,Oficial,caldas,manizales
4.84,9.88,5.72,9.42,1,Universidad,Oficial,caldas,manizales
9.88,5.72,9.42,4.45,2,Universidad,Oficial,caldas,manizales
5.72,9.42,4.45,5.05,1,Universidad,Oficial,caldas,manizales
9.42,4.45,5.05,9.41,2,Universidad,Oficial,caldas,manizales
4.45,5.05,9.41,5.29,1,Universidad,Oficial,caldas,manizales
5.05,9.41,5.29,3.62,2,Universidad,Oficial,caldas,manizales
9.41,5.29,3.62,4.67,1,Universidad,Oficial,caldas,manizales
5.29,3.62,4.67,5.34,2,Universidad,Oficial,caldas,manizales
3.62,4.67,5.34,4.77,1,Universidad,Oficial,caldas,manizales
4.67,5.34,4.77,5.05,2,Universidad,Oficial,caldas,manizales
5.34,4.77,5.05,4.89,1,Universidad,Oficial,caldas,manizales
4.77,5.05,4.89,4.37,2,Universidad,Oficial,caldas,manizales
5.05,4.89,4.37,5.13,1,Universidad,Oficial,caldas,manizales
4.89,4.37,5.13,5.39,2,Universidad,Oficial,caldas,manizales
4.37,5.13,5.39,5.59,1,Universidad,Oficial,caldas,manizales
5.13,5.39,5.59,4.3,2,Universidad,Oficial,caldas,manizales
5.39,5.59,4.3,4.56,1,Universidad,Oficial,caldas,manizales
5.59,4.3,4.56,4.7,2,Universidad,Oficial,caldas,manizales
4.3,4.56,4.7,4.22,1,Universidad,Oficial,caldas,manizales
4.56,4.7,4.22,5.21,2,Universidad,Oficial,caldas,manizales
4.7,4.22,5.21,5.4,1,Universidad,Oficial,caldas,manizales
4.22,5.21,5.4,5.18,2,Universidad,Oficial,caldas,manizales
5.21,5.4,5.18,6.18,1,Universidad,Oficial,caldas,manizales
5.4,5.18,6.18,5.8,2,Universidad,Oficial,caldas,manizales
5.18,6.18,5.8,5.34,1,Universidad,Oficial,caldas,manizales
6.18,5.8,5.34,5.2,2,Universidad,Oficial,caldas,manizales
5.8,5.34,5.2,3.83,1,Universidad,Oficial,caldas,manizales
5.34,5.2,3.83,3.99,2,Universidad,Oficial,caldas,manizales
5.2,3.83,3.99,2.57,1,Universidad,Oficial,caldas,manizales
3.83,3.99,2.57,6.41,2,Universidad,Oficial,caldas,manizales
3.99,2.57,6.41,5.91,1,Universidad,Oficial,caldas,manizales
0.0,0.0,12.08,17.38,1,Universidad,Oficial,valle del cauca,palmira
0.0,12.08,17.38,15.03,2,Universidad,Oficial,valle del cauca,palmira
12.08,17.38,15.03,19.09,1,Universidad,Oficial,valle del cauca,palmira
17.38,15.03,19.09,15.08,2,Universidad,Oficial,valle del cauca,palmira
15.03,19.09,15.08,14.37,1,Universidad,Oficial,valle del cauca,palmira
19.09,15.08,14.37,6.96,2,Universidad,Oficial,valle del cauca,palmira
15.08,14.37,6.96,16.87,1,Universidad,Oficial,valle del cauca,palmira
14.37,6.96,16.87,1.78,2,Universidad,Oficial,valle del cauca,palmira
6.96,16.87,1.78,11.41,1,Universidad,Oficial,valle del cauca,palmira
16.87,1.78,11.41,8.9,2,Universidad,Oficial,valle del cauca,palmira
