ACADE;FINAN;CI_RECI;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
Sin Informaci¿n;Sin Informaci¿n;Sin Informaci¿n;DESERTORES;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;1;2;1;0;0;0;0;1;0;;1;0;0;0;0;0;0;0
Sin Informaci¿n;Sin Informaci¿n;Ninguno;DESERTORES;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;2;1;1;0;0;0;0;1;5;4;11;3;1;9;5;4;3;4;8;5;8;3;2;24;15;18;17;19;20;30;21;37;39;29;22;20;22;46
Sin Informaci¿n;Sin Informaci¿n;1 a 3;DESERTORES;;;;;;;;;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;2;0;2;2;1;0;1;0;2;2;3;2;2;3;2;1;2;3;1
Sin Informaci¿n;Sin Informaci¿n;4 a 6;DESERTORES;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;3;0;1;0;1;1;0;2;2;0;0;1;0;0;0;0;1
Sin Informaci¿n;Sin Informaci¿n;M¿s de 7;DESERTORES;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;2;0;1;0;0;1;4;1;2;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0
Sin Informaci¿n;Ninguno;Sin Informaci¿n;DESERTORES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;2;0;0;2;1;2;0;1;0;0;1;1;0;1;0;0;0;0;;0;0;0;0;0;0
Sin Informaci¿n;Ninguno;Ninguno;DESERTORES;0;0;11;14;15;13;21;22;81;64;48;57;79;64;74;62;71;64;93;156;45;59;37;31;31;47;78;29;20;90;36;36;37;54;51;46;47;65;66;56;50;69;56;45;78;99;99;68;77;81;40;54;68;49
Sin Informaci¿n;Ninguno;1 a 3;DESERTORES;0;0;0;0;0;2;0;2;1;6;2;1;4;4;0;1;3;1;1;2;2;1;1;1;1;0;0;0;1;5;1;3;1;3;0;1;0;1;1;3;3;4;4;1;4;7;5;1;6;4;0;1;1;1
Sin Informaci¿n;Ninguno;4 a 6;DESERTORES;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;3;2;0;2;0;2;2;0;1;3;3;1;3;1;1;7;3;1;2;2;0;0;1;1;1
Sin Informaci¿n;Ninguno;M¿s de 7;DESERTORES;;;;;;;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0;1;3;0;0;3;1;1;0;1;1;0;1;2;0;4;5;1;4;1;1;3;1;0;0;2;0;;;
Sin Informaci¿n;1 a 3;Sin Informaci¿n;DESERTORES;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;2;2;1;1;1;1;1;0;1;;;;;
Sin Informaci¿n;1 a 3;Ninguno;DESERTORES;0;0;0;0;0;3;2;5;29;28;9;10;14;3;5;5;4;17;22;32;16;12;11;5;16;16;12;9;14;17;12;18;22;16;28;35;26;41;36;54;56;66;59;79;78;87;117;112;158;149;134;136;162;124
Sin Informaci¿n;1 a 3;1 a 3;DESERTORES;0;0;0;0;0;0;1;0;1;1;1;0;5;0;0;1;1;0;0;1;1;2;0;0;2;2;1;0;1;1;1;2;1;1;1;5;5;5;0;1;3;5;10;5;4;9;9;12;9;9;2;6;7;5
Sin Informaci¿n;1 a 3;4 a 6;DESERTORES;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;4;2;3;3;3;4;4;0;1;3;0;0;4;1
Sin Informaci¿n;1 a 3;M¿s de 7;DESERTORES;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;2;1;1;1;1;2;1;0;2;0;0;2;0;1;0;0;1;1;0;0;1;0;0;0
Sin Informaci¿n;4 a 6;Sin Informaci¿n;DESERTORES;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;3;0;1;1;1;0;0;1;1;1;3;0;0;0;1;0;1;0;0;;;;;;
Sin Informaci¿n;4 a 6;Ninguno;DESERTORES;;0;0;0;0;0;0;0;0;3;2;1;2;0;2;0;2;0;2;2;3;3;2;2;11;8;11;10;8;22;7;10;16;15;15;16;12;16;20;36;34;49;29;58;59;75;75;54;48;69;91;101;144;174
Sin Informaci¿n;4 a 6;1 a 3;DESERTORES;;;;;0;0;0;0;1;1;0;0;1;0;1;0;0;1;3;0;0;2;1;0;1;1;1;1;0;1;0;0;1;1;0;3;0;1;0;5;1;1;4;7;5;4;3;6;5;7;3;1;2;2
Sin Informaci¿n;4 a 6;4 a 6;DESERTORES;;;;;;0;;;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;3;0;2;1;2;2;0;4;2;1;0;0;1;1;3;2;6;7;3;3;4;5;1;1;1;3;0;0;2
Sin Informaci¿n;4 a 6;M¿s de 7;DESERTORES;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;2;3;1;5;0;0;2;1;0;1;4;2;1;1;3;0;1;1;0;1;1;0;0;0;1;
Sin Informaci¿n;M¿s de 7;Sin Informaci¿n;DESERTORES;;;;;;;0;0;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;1;0;;;;;;
Sin Informaci¿n;M¿s de 7;Ninguno;DESERTORES;0;0;0;0;0;0;0;0;0;1;1;0;1;0;4;2;4;2;2;3;1;0;2;1;2;3;4;8;8;8;7;7;7;6;10;20;12;15;15;42;23;19;21;37;30;45;36;33;32;61;52;55;59;102
Sin Informaci¿n;M¿s de 7;1 a 3;DESERTORES;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;2;2;0;3;0;0;0;3;0;3;1;4;2;3;6;2;1;1;2;2;2;2
Sin Informaci¿n;M¿s de 7;4 a 6;DESERTORES;;;;;;0;0;0;0;;;;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;1;1;2;2;4;3;2;0;0;0;0;0;0;0;0
Sin Informaci¿n;M¿s de 7;M¿s de 7;DESERTORES;;;;;;;0;0;;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;3;0;2;1;1;4;0;0;2;0;1;1;0;2;0;5;3;5;1;1;1;0;0;2;0;0;;0;;
Ninguno;Sin Informaci¿n;Sin Informaci¿n;DESERTORES;0;0;0;0;1;0;0;2;1;0;1;0;1;1;2;4;2;1;1;5;3;6;7;8;13;2;5;11;8;10;11;12;6;10;10;8;6;9;15;8;6;5;4;5;2;2;3;2;3;0;1;0;2;0
Ninguno;Sin Informaci¿n;Ninguno;DESERTORES;0;0;15;8;45;31;27;22;61;86;57;75;78;112;133;164;162;178;230;449;275;278;462;463;357;369;385;371;351;376;653;468;400;513;530;496;553;508;611;865;568;585;573;631;629;730;812;740;696;642;696;695;820;784
Ninguno;Sin Informaci¿n;1 a 3;DESERTORES;0;0;0;5;5;3;1;4;8;8;5;7;16;27;23;20;19;19;30;44;32;22;26;26;27;21;23;23;22;26;18;19;26;26;37;31;39;30;38;42;42;38;32;24;24;31;29;35;24;12;18;19;20;17
Ninguno;Sin Informaci¿n;4 a 6;DESERTORES;0;0;0;0;0;2;1;0;2;1;5;1;3;4;1;11;13;8;17;19;17;9;17;18;8;31;25;17;16;26;16;26;57;50;52;42;32;33;26;33;25;17;20;16;19;19;17;14;6;4;4;7;6;5
Ninguno;Sin Informaci¿n;M¿s de 7;DESERTORES;0;0;1;1;0;1;0;2;0;0;0;1;2;1;1;7;2;4;3;17;8;15;12;8;17;14;21;22;27;18;31;28;22;17;15;28;23;22;31;25;16;10;5;4;11;4;3;5;2;3;3;2;2;3
