AREA;NUCLEO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
Sin informaci¿n;Sin informaci¿n;DESERTORES;0;0;332;423;339;357;789;434;548;567;547;616;1400;2709;446;492;1375;560;690;1228;1;280;442;67;71;45;45;153;22;29;18;33;40;39;33;35;38;2;;;;;;;;;;;;;;42;109;6
Agronomía veterinaria y afines;AGRONOMIA;DESERTORES;0;0;83;108;97;121;136;184;521;338;287;316;419;379;508;489;558;557;684;733;935;854;1160;820;1495;1316;1046;1179;1188;1477;1762;2368;2799;4713;2402;3223;2993;3296;1797;3163;1663;3850;1184;3075;1166;3853;2310;3156;1207;3445;1269;3123;1416;2409
Agronomía veterinaria y afines;ZOOTECNIA;DESERTORES;0;0;182;190;300;235;371;265;470;470;574;660;700;842;878;1500;1116;649;743;714;709;1098;984;1003;1199;1236;1159;1095;1043;1058;1628;1133;1639;1830;1604;1301;1525;1550;1204;1603;1226;1611;945;1583;916;2115;1507;1520;921;1957;1074;2254;1196;1830
Agronomía veterinaria y afines;MEDICINA VETERINARIA;DESERTORES;0;0;169;138;204;183;266;241;395;394;418;573;517;585;598;697;656;693;722;818;884;893;911;859;908;876;913;845;958;966;1027;896;1045;1175;1206;1146;977;1010;1566;1024;1183;1150;1095;1112;1200;1985;1150;746;1216;1241;1132;1242;1257;1319
Bellas artes;"ARTES PLASTICAS, VISUALES Y AFINES";DESERTORES;0;0;156;175;245;199;255;226;220;287;301;300;362;437;472;478;575;564;614;590;681;613;736;812;729;672;794;899;904;1007;2084;951;963;1033;1138;1140;1149;1244;1292;1269;1400;1494;1323;1626;1337;1657;1497;1295;1486;1602;1285;1803;1455;1624
Bellas artes;ARTES REPRESENTATIVAS;DESERTORES;0;0;2;60;3;64;5;24;22;85;53;43;164;126;31;64;53;28;91;60;77;65;75;43;127;104;119;72;123;103;164;95;141;147;131;122;142;165;190;255;230;311;165;344;249;228;229;389;234;421;154;480;206;488
Bellas artes;PUBLICIDAD Y AFINES;DESERTORES;0;0;803;600;702;583;617;611;631;654;658;716;735;745;855;805;762;780;908;1746;941;1150;1393;2073;1584;1463;1719;1478;1509;1357;1387;1837;1343;1463;1239;1259;1037;1062;1560;966;822;748;637;681;682;617;766;1186;1037;2264;1553;2565;1492;2295
Bellas artes;DISEÑO;DESERTORES;0;0;550;343;625;461;742;928;1118;1281;1320;1349;1448;1515;1714;2196;2120;2734;2330;2261;3197;3308;4371;4515;3781;4856;4452;4848;5171;5572;6227;4946;5817;7354;5532;5210;5808;7310;5347;5605;4643;5417;3386;5156;3100;5909;4299;4014;3327;4749;3698;4394;3984;4214
Bellas artes;MUSICA;DESERTORES;0;0;142;53;68;103;147;205;170;281;197;218;242;288;319;295;364;287;290;451;373;416;369;360;447;456;441;432;440;503;431;560;564;514;521;552;489;511;611;717;543;691;647;783;691;855;740;757;751;909;823;911;850;921
Bellas artes;OTROS PROGRAMAS ASOCIADOS A BELLAS ARTES;DESERTORES;;;;;;;;;;0;0;6;0;0;2;4;4;9;35;15;31;16;35;80;62;71;83;85;94;159;490;141;813;514;785;340;1566;1146;333;1414;656;1232;495;1289;352;1305;603;1152;463;1150;455;980;438;784
Ciencias de la educación;EDUCACION;DESERTORES;0;0;3978;2797;2621;3163;3658;4402;3860;4759;5121;4978;5368;7651;6305;7854;6563;6896;6891;8703;9985;9841;11946;12614;12594;13013;12209;14003;15054;13491;13922;13944;14050;16503;15624;14547;16864;15940;19152;21055;18376;20087;15092;17368;14138;16407;13483;13198;13306;14162;12785;12988;13210;12430
Ciencias de la salud;BACTERIOLOGIA;DESERTORES;0;0;364;210;119;132;201;173;256;307;305;295;472;459;522;430;508;474;573;451;512;507;473;442;487;538;523;510;481;471;458;364;431;400;308;323;602;275;279;308;284;255;241;276;229;214;235;145;182;184;197;220;204;207
Ciencias de la salud;ENFERMERIA;DESERTORES;0;0;278;275;373;261;319;621;504;685;633;643;700;827;1018;804;888;909;974;909;1042;1180;1444;1309;1381;1360;1441;1593;1465;1535;1498;1379;1313;1627;1468;1420;1271;1335;1546;1454;1598;1555;1343;1354;1243;1303;1145;907;1368;1345;1116;1701;1093;1021
Ciencias de la salud;TERAPIAS;DESERTORES;0;0;458;965;583;391;519;629;739;962;667;714;882;792;1003;749;754;729;772;852;1037;1128;1185;1187;1224;1018;1161;1097;1156;1558;1083;1242;1307;1340;1428;1354;1792;1776;1334;2057;1840;2202;1292;1975;1148;1753;1225;1612;963;1813;1191;1852;1357;1785
Ciencias de la salud;INSTRUMENTACION QUIRURGICA;DESERTORES;0;0;161;161;175;210;274;332;364;344;423;396;447;435;355;283;361;338;347;290;302;300;307;294;222;258;285;308;282;317;275;276;304;287;368;299;246;261;319;352;302;263;249;260;221;191;207;141;201;164;210;223;196;238
Ciencias de la salud;MEDICINA;DESERTORES;0;0;959;229;430;399;656;698;877;985;1021;1061;1428;1271;1203;1196;1484;1162;1233;3254;1690;1593;1904;2117;1948;1977;2889;4123;2349;2234;2090;2011;1832;2380;1901;2503;1596;1660;1724;1802;1748;1896;1919;1901;1581;1957;1464;1813;1388;2242;1626;2303;1721;1987
Ciencias de la salud;NUTRICION Y DIETETICA;DESERTORES;0;0;13;34;15;28;38;89;51;60;44;82;51;98;137;89;85;108;118;122;177;121;120;117;144;112;109;132;156;151;147;89;108;146;144;132;143;153;194;192;244;180;280;335;302;242;205;177;217;158;208;186;192;181
Ciencias de la salud;ODONTOLOGIA;DESERTORES;0;0;1256;374;447;507;438;366;511;381;540;622;661;661;752;640;675;882;707;1739;922;1116;1120;1202;1156;1004;1115;1567;1275;1256;1333;1195;1103;1360;1285;1385;1054;1003;1226;1055;1097;1127;1113;850;870;967;854;475;674;657;726;695;716;612
Ciencias de la salud;"OPTOMETRIA, OTROS PROGRAMAS DE CIENCIAS DE LA SALUD";DESERTORES;0;0;145;45;55;65;100;58;85;85;95;85;141;120;105;97;154;203;180;131;158;185;251;352;482;406;406;485;440;575;568;567;545;588;554;517;443;484;399;439;279;304;298;263;232;250;203;157;253;248;263;227;245;241
Ciencias de la salud;SALUD PUBLICA;DESERTORES;0;0;0;9;25;10;56;60;102;94;100;86;146;170;233;247;216;212;212;216;351;313;580;629;1446;1373;1872;1106;2231;1147;3412;3004;2622;2527;3448;3913;2952;2818;2136;3076;1680;3394;2039;2762;1375;2407;1647;1512;1730;1990;2066;2522;2445;1974
Ciencias sociales y humanas;"ANTROPOLOGIA, ARTES LIBERALES";DESERTORES;0;0;36;42;42;57;60;41;115;147;79;132;114;152;148;184;170;116;181;167;186;209;228;192;192;229;224;213;172;237;219;238;203;241;236;226;250;189;276;228;209;204;217;258;259;231;268;137;304;199;198;235;247;223
Ciencias sociales y humanas;"BIBLIOTECOLOGIA, OTROS DE CIENCIAS SOCIALES Y HUMANAS";DESERTORES;0;0;3;5;11;8;19;32;56;46;49;57;61;62;75;81;46;83;92;169;118;155;210;152;143;208;311;236;287;839;2851;564;921;905;805;680;1908;1056;471;1289;421;1385;287;1392;449;1533;988;1494;670;1581;204;1434;240;801
Ciencias sociales y humanas;"CIENCIA POLITICA, RELACIONES INTERNACIONALES";DESERTORES;0;0;32;46;99;88;95;119;147;313;221;258;242;318;359;353;406;386;439;506;617;627;800;571;718;754;874;812;727;835;756;789;750;869;872;815;882;772;923;825;820;820;681;783;820;804;761;696;928;930;856;826;899;804
Ciencias sociales y humanas;"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES";DESERTORES;0;0;1397;508;831;638;842;932;1293;1073;1068;1338;1398;1569;1723;1847;1997;1924;2075;2504;2745;2816;3072;2982;2925;3015;3052;3228;3320;3643;3504;3436;3922;3809;4053;3905;4240;4456;4857;4605;4165;4522;4047;4050;3570;4836;4364;3148;3329;3965;3350;3409;3365;3112
Ciencias sociales y humanas;"DEPORTES, EDUCACION FISICA Y RECREACION";DESERTORES;0;0;196;84;89;78;123;185;491;220;257;327;286;220;372;347;309;487;420;648;611;496;692;526;735;554;650;527;801;777;790;721;1018;944;1018;927;1048;1109;1223;1203;1773;1310;1234;1692;1458;1624;1774;1238;1123;1941;1091;2559;1252;1640
Ciencias sociales y humanas;DERECHO Y AFINES;DESERTORES;0;0;5166;2201;5736;2713;3222;3800;5299;4419;5210;5577;7171;5890;7391;6388;6613;7877;7749;11547;6990;10089;8810;9505;8624;10223;10310;10915;10303;13241;9994;12708;11497;13392;12698;13740;12256;13107;14358;14928;13606;15200;13098;14062;13076;14956;13033;12224;12454;12920;11830;12376;11405;11802
Ciencias sociales y humanas;FORMACION RELACIONADA CON EL CAMPO MILITAR O POLICIAL;DESERTORES;0;0;21;35;52;48;28;42;9;19;32;67;57;70;36;33;25;39;22;38;305;1536;293;418;295;412;1374;394;546;2153;146;830;516;1652;518;5104;2508;366;507;418;396;328;311;256;394;553;295;199;546;446;441;376;549;397
