SEXO;INGRESO_FAMILIA;NUMERO_PERSONAS_FAMILIA;ESTRATO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
Mujer;Sin informaci¿n;Sin informaci¿n;Sin informaci¿n;DESERTORES;0;0;21629;10106;12700;9116;10582;10657;10716;8933;9666;10628;9616;10276;9611;11078;9083;9325;8936;12306;11626;13116;18276;18555;18150;18187;18086;20157;17478;18466;18712;17566;21454;20443;21274;16591;19560;20360;18953;18439;14689;19517;27348;45079;43298;71352;71463;78056;69262;118250;88202;150003;109381;152061
Mujer;Sin informaci¿n;Sin informaci¿n;Estrato 1;DESERTORES;0;0;1;3;6;1;10;18;23;31;33;26;62;50;87;120;832;1116;1740;2269;3315;4175;4705;4750;4042;4192;3543;3747;3661;3388;3572;3459;3479;3677;3484;3030;3185;3451;3014;3020;2209;2602;1651;2333;1472;2342;1283;1670;1255;1934;1212;2143;1076;1679
Mujer;Sin informaci¿n;Sin informaci¿n;Estrato 2;DESERTORES;0;0;10;10;21;10;18;55;83;96;161;148;198;216;387;795;3649;4349;6236;8967;11235;13146;14752;15070;12891;13446;11942;13598;12297;12550;12020;11876;11716;11978;10943;9679;10427;10321;9872;9171;6944;7766;5061;7338;4332;7094;3991;5055;3578;5909;3723;6237;3226;5021
Mujer;Sin informaci¿n;Sin informaci¿n;Estrato 3;DESERTORES;0;0;4;4;1;0;5;44;94;81;248;235;213;205;394;465;2129;2264;3511;4929;5973;6651;7730;7686;6411;6698;6232;6961;5968;6548;5931;5774;5374;5448;4821;4449;4318;4280;4005;3812;2838;3121;2202;2957;1867;2640;1615;1960;1451;2236;1407;2294;1222;1932
Mujer;Sin informaci¿n;Sin informaci¿n;Estrato 4;DESERTORES;;0;;0;1;0;0;7;15;23;38;37;48;37;44;47;218;255;230;359;407;472;571;543;483;484;487;444;456;441;364;365;342;303;268;260;222;208;208;167;142;145;120;137;91;121;81;88;78;104;70;95;44;72
Mujer;Sin informaci¿n;Sin informaci¿n;Estrato 5;DESERTORES;;;;;0;0;1;8;4;9;18;22;14;10;18;22;123;151;171;286;262;288;317;247;264;271;244;216;213;226;195;156;137;123;91;91;100;80;61;59;45;41;44;57;33;33;22;28;14;30;20;32;18;21
Mujer;Sin informaci¿n;Sin informaci¿n;Estrato 6;DESERTORES;;;;;;0;0;1;0;3;5;5;2;3;9;17;35;129;106;117;100;173;139;149;140;103;117;97;99;158;81;64;46;54;42;24;25;21;26;29;18;11;13;10;10;9;8;9;5;11;10;6;6;5
Mujer;Sin informaci¿n;Sin informaci¿n;Hogares no clasificados;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0;1
Mujer;Sin informaci¿n;1;Sin informaci¿n;DESERTORES;0;0;1;4;2;2;5;3;1;3;2;1;3;1;2;3;0;1;1;4;0;1;0;2;7;2;3;4;1;1;2;4;5;9;2;3;4;1;2;3;2;2;0;3;1;0;1;0;0;0;1;2;1;0
Mujer;Sin informaci¿n;1;Estrato 1;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;13;14;20;16;20;36;44;40;74;95;78;147;108;169;71;140;72;135;70;91;71;111;62;91;73;80
Mujer;Sin informaci¿n;1;Estrato 2;DESERTORES;0;0;0;0;0;0;0;;0;0;0;0;0;0;;;;;;;;0;1;2;0;2;1;5;10;15;22;26;24;34;41;37;58;74;55;90;75;99;55;86;50;72;40;59;37;66;33;49;44;36
Mujer;Sin informaci¿n;1;Estrato 3;DESERTORES;;0;0;0;1;0;0;0;2;0;0;0;0;0;;0;2;0;1;0;0;0;1;1;0;2;0;2;9;22;8;18;10;21;21;33;29;61;59;49;51;57;33;37;29;38;32;31;24;35;21;21;14;23
Mujer;Sin informaci¿n;1;Estrato 4;DESERTORES;;;0;;;;;;;;;;;;;0;1;;0;0;;;0;1;0;0;0;5;5;3;9;2;3;3;4;9;7;7;11;13;15;10;10;11;9;9;5;3;4;8;4;3;4;3
Mujer;Sin informaci¿n;1;Estrato 5;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;4;1;2;3;2;1;4;4;6;2;3;0;5;1;3;4;1;1;0;4;3;2;4
Mujer;Sin informaci¿n;1;Estrato 6;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;1;1;0;0;1;0;1;0;0;2;1;2;0;3;2;1;0;1;3;1;0;2;0;2;0;0
Mujer;Sin informaci¿n;1;Hogares no clasificados;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;1;0;;;;;;;;;;;;;;;;;;
Mujer;Sin informaci¿n;2;Sin informaci¿n;DESERTORES;0;0;29;36;52;48;48;31;39;23;25;35;34;32;32;28;25;18;22;17;14;14;17;68;62;58;50;34;33;56;37;38;42;56;47;43;49;44;26;35;17;23;16;16;12;16;11;13;9;17;15;13;5;15
Mujer;Sin informaci¿n;2;Estrato 1;DESERTORES;;;;;0;0;1;2;0;0;;;;0;1;1;0;0;0;0;;;0;1;1;3;3;15;85;123;140;129;156;180;254;273;437;525;570;720;563;885;426;737;365;690;406;534;382;574;373;489;313;405
Mujer;Sin informaci¿n;2;Estrato 2;DESERTORES;0;;;;0;;1;3;;;;;;;0;1;0;0;0;0;1;0;0;1;2;1;2;31;198;270;252;235;273;367;472;475;836;980;1038;1263;1079;1404;834;1203;676;1195;709;760;629;871;621;814;523;607
Mujer;Sin informaci¿n;2;Estrato 3;DESERTORES;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;1;2;28;146;240;182;178;198;244;383;399;637;782;746;934;781;899;627;759;543;742;491;493;468;559;422;503;326;368
Mujer;Sin informaci¿n;2;Estrato 4;DESERTORES;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;;;1;1;0;0;0;0;2;8;39;48;52;38;52;71;106;130;155;191;209;206;235;223;173;189;146;174;108;123;118;127;88;95;71;72
Mujer;Sin informaci¿n;2;Estrato 5;DESERTORES;;;;0;;0;0;;;;;;;;;;;;0;1;0;0;0;0;0;1;0;2;11;17;15;15;13;30;40;37;51;57;71;52;65;54;49;47;44;43;33;27;32;38;26;24;21;17
Mujer;Sin informaci¿n;2;Estrato 6;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;6;12;4;5;5;4;15;26;22;34;29;30;37;34;19;26;17;25;19;17;19;13;13;12;4;9
