SEXO;NUCLEO;NIVEL_FORMACION;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
Mujer;Sin informaci¿n;Sin informaci¿n;DESERTORES;0;0;174;217;180;148;174;162;243;204;237;238;652;1234;121;123;261;200;176;439;0;162;158;35;30;19;19;75;9;16;12;18;22;21;12;15;17;1;;;;;;;;;;;;;;;;
Mujer;Sin informaci¿n;UNIVERSITARIA;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;6
Mujer;Sin informaci¿n;TECNOLOGICA;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
Mujer;Sin informaci¿n;FORMACION TECNICA PROFESIONAL;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
Mujer;AGRONOMIA;UNIVERSITARIA;DESERTORES;0;0;6;15;21;23;16;20;36;26;46;43;50;34;57;78;71;54;59;51;62;106;83;80;138;105;146;124;112;108;112;140;125;159;183;254;209;204;367;258;264;233;326;285;310;404;368;330;389;410;522;523;754;714
Mujer;AGRONOMIA;TECNOLOGICA;DESERTORES;0;0;24;32;16;34;30;63;206;93;55;52;104;92;128;106;142;139;201;215;277;193;334;183;423;394;232;225;301;423;536;948;1230;2160;994;1274;1221;1195;258;1204;420;1571;169;1178;297;1711;942;1685;324;1939;247;1874;178;1007
Mujer;AGRONOMIA;FORMACION TECNICA PROFESIONAL;DESERTORES;0;0;2;1;1;1;3;6;3;6;8;12;16;6;7;6;12;15;24;14;58;38;65;53;82;45;53;239;62;81;103;70;99;232;78;121;112;390;231;204;181;139;161;344;137;566;508;398;182;445;179;116;184;294
Mujer;ZOOTECNIA;UNIVERSITARIA;DESERTORES;0;0;44;34;69;43;62;67;85;84;69;122;126;139;122;158;180;138;190;188;224;303;276;317;304;270;331;252;281;240;306;248;317;291;377;343;383;303;418;330;427;345;450;437;469;675;409;452;602;631;751;754;901;917
Mujer;ZOOTECNIA;TECNOLOGICA;DESERTORES;0;0;19;31;38;25;50;25;80;88;120;124;125;181;182;419;245;89;76;64;53;100;67;71;101;156;96;95;59;166;307;166;342;390;343;193;285;331;129;351;165;400;51;337;69;587;662;580;76;869;83;1061;54;630
Mujer;ZOOTECNIA;FORMACION TECNICA PROFESIONAL;DESERTORES;;;;;;;;;;;;;;;;;;0;;;;;0;1;5;30;9;20;5;6;7;12;6;181;11;9;1;98;4;124;8;31;19;170;16;35;;7;46;0;0;0;1;13
Mujer;MEDICINA VETERINARIA;UNIVERSITARIA;DESERTORES;0;0;72;60;59;64;106;88;134;160;178;222;188;210;232;282;273;278;252;333;348;365;353;342;361;367;362;343;425;399;436;385;442;553;547;541;472;485;765;437;621;596;621;653;731;1242;769;517;854;915;843;977;983;1073
