IES;MUNICIPIO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
1104;Palmira;DESERTORES;0;0;50;105;102;122;114;141;72;192;28;204;168;175;214;172;145;163;141;117;216;179;0;194;46;131;126;121;119;147;135;148;164;154;104;124;152;125;144;145;186;150;162;174;136;153;86;132;175;209;145;209;181;151
1122;Buenaventura;DESERTORES;;;;;;0;0;32;85;72;69;90;157;164;113;157;109;146;189;188;191;531;214;502;243;227;213;327;219;325;297;127;217;262;240;296;319;364;283;506;272;278;334;369;220;262;217;272;543;405;205;215;264;345
1203;Cali;DESERTORES;0;0;53;328;172;684;516;1032;1105;1482;1305;1781;1454;1625;1759;2103;2142;2102;2145;10203;1393;1577;2099;3098;1919;1907;2168;1900;2273;1676;2134;1901;1880;1929;2006;1926;1935;1614;1946;1653;1786;1627;2187;2660;2347;1999;1273;2969;1588;2974;2336;2166;2293;2647
1702;Cali;DESERTORES;0;0;102;196;266;294;299;328;342;431;448;422;421;415;409;396;407;479;401;426;416;438;449;433;455;449;373;399;411;477;472;527;426;550;512;483;555;551;594;465;476;465;445;453;397;434;345;308;381;417;372;358;423;333
1716;Cali;DESERTORES;0;0;361;498;527;502;473;490;428;397;388;393;381;329;407;355;374;299;269;274;286;316;314;342;316;334;396;362;409;376;369;444;372;414;346;369;343;381;545;483;330;434;366;224;311;297;361;196;274;240;273;273;178;366
1730;Palmira;DESERTORES;;;;;;;;;0;0;5;3;0;13;2;6;1;24;2;3;12;16;21;17;4;18;14;14;17;19;17;24;15;17;8;9;21;15;14;11;20;20;18;8;17;28;13;24;10;24;13;14;22;23
1805;Cali;DESERTORES;0;0;245;743;750;898;768;1025;1103;691;704;961;1148;964;1079;938;793;698;698;692;899;1118;1091;1385;1111;1155;1215;1617;1349;1063;1058;1125;1117;1383;1562;1276;1334;1231;1365;2336;3776;2035;2087;1373;1237;1712;1601;822;1067;1163;1274;1287;1437;1492
1807;Cali;DESERTORES;0;0;58;328;123;258;333;109;156;524;113;607;373;352;490;612;678;524;458;649;388;483;600;952;375;559;264;693;286;411;281;400;255;436;243;423;321;513;286;237;494;766;318;423;326;567;423;441;364;331;334;330;271;288
1828;Cali;DESERTORES;0;0;0;49;212;0;172;165;146;128;124;126;146;178;165;191;175;204;181;220;220;494;312;303;316;297;301;347;244;348;355;315;316;360;320;333;390;358;422;404;452;313;342;267;242;248;165;169;198;191;211;243;199;204
1829;Palmira;DESERTORES;;;;;;;;;;;;0;0;8;6;29;21;26;58;32;53;64;74;153;93;62;77;158;34;267;484;51;60;78;61;290;112;87;137;183;129;191;34;117;120;130;112;102;177;124;116;102;112;104
